ProductID,ProductNumber,ProductName,StandardCost,ListPrice,ProductCategory
1,XjC-867,Citizen science.,3961,4353,Sports
2,kTU-288,Large prepare down.,7711,8505,Accessories
3,omH-508,So trip large hot.,689,911,Clothing
4,ghL-469,Upon three perhaps.,5695,5699,Sports
5,YFW-746,Serious she main.,8966,9537,Toys
6,iYY-585,Why stop its.,6099,6200,Clothing
7,RpG-941,Outside population.,8382,8761,Clothing
8,wvD-217,Quite mention.,3139,3228,Novelty Items
9,ssv-685,Glass debate read.,6201,7199,Clothing
10,swN-494,Beautiful.,7606,8396,Accessories
11,aRD-985,Employee stand him.,135,240,Toys
12,hHn-337,Mrs also.,2346,2726,Accessories
13,ZrJ-426,Moment always.,221,1218,Clothing
14,Kll-309,Future art where.,6689,7208,Accessories
15,upE-916,Reason hand.,758,1663,Accessories
16,hVi-686,Staff wife property.,8366,8370,Novelty Items
17,VdF-886,Piece part seem.,5703,6003,Packing Materials
18,fxj-170,Certainly candidate.,2593,3191,Clothing
19,EKH-297,Evidence industry.,901,1739,Clothing
20,PUd-468,End look role.,3235,3296,Novelty Items
21,aoY-225,American cover.,40,771,Accessories
22,gNq-009,Southern lay style.,1042,1385,Novelty Items
23,CrU-510,Character wait.,2981,3579,Novelty Items
