BillDetailID,OrderDate,CustomerID,ProductID,OrderQty
1,2017-05-09,21,6,1
2,2020-03-29,20,17,6
3,2019-02-17,3,8,5
4,2019-06-25,15,13,10
5,2016-10-01,11,8,8
6,2020-06-01,21,5,8
7,2017-05-27,15,7,8
8,2017-06-02,6,3,9
9,2017-02-09,23,1,2
10,2017-04-04,17,11,1
11,2018-12-28,2,13,2
12,2020-05-23,7,16,6
13,2017-04-11,30,20,1
14,2020-04-12,21,4,5
15,2020-03-09,10,7,8
16,2017-02-18,4,4,1
17,2020-01-03,5,22,6
18,2020-03-24,16,18,10
19,2017-09-10,22,10,6
20,2017-01-04,8,21,8
21,2019-10-01,29,3,9
22,2019-03-04,13,6,3
23,2019-04-01,13,4,10
24,2018-11-30,6,8,5
25,2019-03-10,15,16,7
26,2017-11-06,22,17,8
27,2017-12-03,25,12,2
28,2020-03-30,5,8,9
29,2019-08-08,17,17,9
30,2016-09-19,9,10,9
31,2019-09-05,7,18,8
32,2017-04-20,28,16,6
33,2018-05-09,29,9,5
34,2018-05-16,18,19,8
35,2020-04-17,15,5,5
36,2018-10-08,23,14,9
37,2018-03-15,19,13,3
38,2019-03-07,21,20,8
39,2017-05-20,28,12,8
40,2020-01-02,13,20,6
41,2018-11-16,16,3,3
42,2019-08-30,6,10,4
43,2018-06-11,25,20,5
44,2019-02-14,16,5,6
45,2017-03-27,14,13,8
46,2019-05-15,11,6,2
47,2018-09-19,25,20,8
48,2020-08-30,27,23,8
49,2017-12-23,30,3,3
50,2020-05-15,19,12,10
51,2018-05-05,22,16,3
52,2016-12-11,6,7,5
53,2017-08-06,17,15,2
54,2019-04-17,22,10,3
55,2018-06-04,7,16,4
56,2019-03-11,4,11,10
57,2016-09-30,21,6,5
58,2018-02-11,14,5,6
59,2017-03-14,17,11,3
60,2019-04-09,20,13,5
61,2017-10-26,5,3,8
62,2018-11-25,22,6,4
63,2019-07-12,6,11,1
64,2020-04-25,18,14,4
65,2018-04-12,13,18,1
66,2019-05-04,29,14,5
67,2019-09-06,17,17,4
68,2016-11-24,18,17,2
69,2018-04-12,4,1,8
70,2020-07-15,29,22,2
71,2019-12-18,17,19,6
72,2020-03-16,8,1,2
73,2019-04-16,7,18,2
74,2019-09-03,18,8,1
75,2017-10-05,28,15,4
76,2019-03-09,5,5,8
77,2016-11-26,9,23,3
78,2017-01-16,29,12,4
79,2019-04-10,4,5,3
80,2018-12-10,16,8,2
81,2019-03-30,22,14,4
82,2017-10-29,17,9,7
83,2017-07-04,30,12,2
84,2018-12-02,15,2,5
85,2017-07-17,16,23,3
86,2017-05-21,25,10,2
87,2017-04-01,16,10,7
88,2019-05-26,15,8,6
89,2017-08-16,27,23,2
90,2020-04-09,24,14,6
91,2017-07-22,17,6,9
92,2019-12-27,1,10,8
93,2017-12-15,12,20,8
94,2018-12-11,28,15,6
95,2019-02-11,1,5,5
96,2018-06-09,24,21,5
97,2018-07-20,7,18,7
98,2017-08-27,18,8,5
99,2018-08-17,4,5,1
100,2019-05-11,5,4,5
101,2020-06-09,11,16,8
102,2016-10-22,1,4,7
103,2017-09-08,12,14,9
104,2017-08-20,16,20,2
105,2019-02-26,14,22,2
106,2017-09-13,7,2,9
107,2018-02-09,25,20,3
108,2020-08-26,26,5,3
109,2016-10-09,25,18,8
110,2020-04-03,14,2,6
111,2018-11-26,10,19,5
112,2018-05-06,13,23,9
113,2017-11-30,5,14,3
114,2019-07-30,2,10,6
115,2019-04-13,9,23,2
116,2018-09-17,25,21,5
117,2019-03-07,16,19,8
118,2019-03-19,24,6,1
119,2018-10-16,22,20,5
120,2018-09-19,9,16,8
121,2018-02-25,13,3,3
122,2017-05-09,30,23,7
123,2018-02-12,30,11,4
124,2019-12-25,26,16,10
125,2020-04-12,24,4,6
126,2017-11-06,10,8,9
127,2016-11-20,29,3,2
128,2019-01-17,7,4,1
129,2019-09-21,18,12,7
130,2019-07-30,5,14,5
131,2019-12-14,20,15,6
132,2016-10-06,15,16,9
133,2017-07-04,9,11,1
134,2018-04-19,28,9,6
135,2016-11-29,15,18,10
136,2017-01-25,30,9,8
137,2020-04-12,24,11,3
138,2017-04-29,5,8,2
139,2020-03-30,30,13,1
140,2017-06-08,29,1,9
141,2016-11-24,25,16,3
142,2018-05-25,5,4,7
143,2019-09-04,14,21,7
144,2019-07-25,7,18,1
145,2019-06-29,18,5,10
146,2019-04-01,3,17,5
147,2020-01-31,28,17,1
148,2017-09-10,9,14,3
149,2019-07-01,10,8,1
150,2017-07-01,13,21,2
151,2017-03-13,4,13,2
152,2017-06-15,7,4,6
153,2017-10-12,25,1,8
154,2019-08-01,17,15,2
155,2019-08-24,29,12,1
156,2017-06-23,14,7,6
157,2017-12-28,25,9,7
158,2020-02-11,9,11,5
159,2019-07-17,7,1,10
160,2017-05-08,14,7,8
161,2020-04-04,16,15,1
162,2017-02-03,2,13,8
163,2019-10-14,18,2,7
164,2017-01-25,6,17,9
165,2017-08-19,25,16,1
166,2017-01-28,23,2,2
167,2016-09-07,23,10,7
168,2018-02-04,29,5,6
169,2020-03-20,29,16,1
170,2018-04-21,14,8,7
171,2018-03-27,25,3,3
