BillDetailID,OrderDate,CustomerID,ProductID,OrderQty,UnitPrice,LineProfit
1,2019-04-08 00:00:00,2,10,9,2863,4392
2,2017-09-27 00:00:00,2,10,1,2863,488
3,2019-09-10 00:00:00,5,9,8,8971,2864
4,2018-01-17 00:00:00,6,2,4,1565,1800
5,2017-01-17 00:00:00,4,2,10,1565,4500
6,2020-01-19 00:00:00,10,8,2,4074,1942
7,2018-03-04 00:00:00,10,6,1,5868,573
8,2017-09-10 00:00:00,1,3,8,2138,3048
9,2017-07-28 00:00:00,5,3,10,2138,3810
10,2019-07-24 00:00:00,7,7,8,4009,6496
11,2019-09-26 00:00:00,1,3,1,2138,381
12,2020-01-03 00:00:00,3,8,3,4074,2913
13,2018-07-29 00:00:00,359,47,1,8102,217
14,2016-10-12 00:00:00,696,10,6,2863,2928
15,2017-02-20 00:00:00,662,33,8,8656,56
16,2020-04-02 00:00:00,292,27,2,8329,170
17,2018-09-19 00:00:00,325,5,2,5857,448
18,2019-05-01 00:00:00,433,26,6,4966,4464
19,2018-06-17 00:00:00,169,29,7,2312,4305
20,2020-07-11 00:00:00,377,30,1,9196,418
21,2018-03-27 00:00:00,388,44,4,3899,176
22,2020-01-26 00:00:00,833,4,4,2778,3248
23,2020-05-19 00:00:00,727,16,4,9551,3956
24,2017-03-25 00:00:00,762,34,7,2235,6174
25,2017-10-30 00:00:00,504,26,6,4966,4464
26,2016-11-03 00:00:00,172,2,10,1565,4500
27,2020-05-02 00:00:00,585,26,5,4966,3720
28,2018-03-04 00:00:00,703,25,10,4460,7770
29,2019-05-12 00:00:00,700,26,5,4966,3720
30,2019-09-03 00:00:00,686,16,8,9551,7912
31,2019-10-27 00:00:00,125,20,6,4184,2790
32,2017-10-16 00:00:00,946,42,6,6201,2640
33,2017-12-02 00:00:00,76,11,3,4470,486
34,2018-02-27 00:00:00,388,35,2,8211,1568
35,2017-01-11 00:00:00,735,32,1,9553,990
36,2018-05-31 00:00:00,636,13,2,10237,1256
37,2017-01-09 00:00:00,936,32,4,9553,3960
38,2017-04-29 00:00:00,783,42,3,6201,1320
39,2020-07-31 00:00:00,837,41,4,2665,888
40,2017-03-30 00:00:00,780,8,2,4074,1942
41,2018-01-10 00:00:00,929,9,3,8971,1074
42,2018-01-13 00:00:00,433,38,4,9265,1132
43,2017-02-27 00:00:00,586,45,4,3550,436
44,2017-08-14 00:00:00,659,12,5,1055,500
45,2018-12-27 00:00:00,95,9,10,8971,3580
46,2016-10-07 00:00:00,738,20,4,4184,1860
47,2018-06-27 00:00:00,1,45,9,3550,981
48,2020-06-25 00:00:00,734,22,1,655,204
49,2018-04-15 00:00:00,926,8,4,4074,3884
50,2017-01-03 00:00:00,207,1,6,4041,4818
51,2017-05-01 00:00:00,254,47,10,8102,2170
52,2020-03-30 00:00:00,378,50,4,9056,3664
53,2018-09-04 00:00:00,599,27,6,8329,510
54,2020-08-27 00:00:00,825,3,4,2138,1524
55,2019-09-03 00:00:00,990,24,4,10030,2544
56,2018-08-08 00:00:00,757,36,2,4019,592
57,2020-04-30 00:00:00,795,6,3,5868,1719
58,2019-08-30 00:00:00,748,1,7,4041,5621
59,2016-12-04 00:00:00,128,39,1,10137,408
60,2020-07-31 00:00:00,791,32,7,9553,6930
61,2017-01-18 00:00:00,127,25,7,4460,5439
62,2017-02-20 00:00:00,516,36,5,4019,1480
63,2019-11-18 00:00:00,507,36,1,4019,296
64,2018-10-19 00:00:00,611,21,4,1196,2064
65,2017-10-27 00:00:00,192,33,5,8656,35
66,2018-01-11 00:00:00,38,3,10,2138,3810
67,2019-07-07 00:00:00,83,41,5,2665,1110
68,2019-04-11 00:00:00,696,42,7,6201,3080
69,2017-07-22 00:00:00,672,5,5,5857,1120
70,2018-09-25 00:00:00,100,7,2,4009,1624
71,2019-12-21 00:00:00,48,35,4,8211,3136
72,2017-10-22 00:00:00,207,2,4,1565,1800
73,2017-11-19 00:00:00,871,30,6,9196,2508
74,2019-04-11 00:00:00,25,40,8,7245,7320
75,2019-08-22 00:00:00,214,10,7,2863,3416
76,2020-07-19 00:00:00,70,7,10,4009,8120
77,2019-01-19 00:00:00,310,29,3,2312,1845
78,2017-08-23 00:00:00,593,5,3,5857,672
79,2018-03-21 00:00:00,156,44,3,3899,132
80,2017-12-06 00:00:00,758,6,2,5868,1146
81,2016-10-29 00:00:00,741,37,9,8918,3222
82,2019-12-19 00:00:00,16,1,4,4041,3212
83,2018-01-31 00:00:00,836,8,6,4074,5826
84,2019-06-15 00:00:00,377,46,8,2723,296
85,2020-05-18 00:00:00,680,31,7,4203,6517
86,2020-05-18 00:00:00,877,40,7,7245,6405
87,2018-03-21 00:00:00,439,22,5,655,1020
88,2017-07-14 00:00:00,532,48,8,4856,1936
89,2019-10-03 00:00:00,754,38,1,9265,283
90,2019-08-07 00:00:00,771,33,7,8656,49
91,2018-03-05 00:00:00,837,24,10,10030,6360
92,2019-02-24 00:00:00,50,12,10,1055,1000
93,2018-02-23 00:00:00,233,35,7,8211,5488
94,2019-07-21 00:00:00,475,23,2,6407,1716
95,2018-01-13 00:00:00,493,29,9,2312,5535
96,2017-07-15 00:00:00,723,20,2,4184,930
97,2017-01-19 00:00:00,231,39,7,10137,2856
98,2019-01-20 00:00:00,60,7,8,4009,6496
99,2019-02-05 00:00:00,605,16,1,9551,989
100,2017-02-01 00:00:00,656,25,2,4460,1554
101,2017-04-27 00:00:00,588,17,5,6338,2085
102,2018-02-27 00:00:00,687,8,9,4074,8739
103,2018-11-03 00:00:00,237,13,8,10237,5024
104,2016-10-01 00:00:00,1000,4,2,2778,1624
105,2018-12-05 00:00:00,379,1,2,4041,1606
106,2017-07-07 00:00:00,177,21,9,1196,4644
107,2017-01-14 00:00:00,929,43,4,9442,3676
108,2016-12-01 00:00:00,12,44,7,3899,308
109,2018-02-25 00:00:00,878,21,10,1196,5160
110,2017-07-13 00:00:00,704,23,10,6407,8580
111,2017-02-07 00:00:00,502,35,3,8211,2352
112,2019-04-06 00:00:00,805,9,8,8971,2864
113,2017-07-04 00:00:00,468,22,9,655,1836
114,2020-07-24 00:00:00,369,47,1,8102,217
115,2020-05-04 00:00:00,139,13,9,10237,5652
116,2019-02-21 00:00:00,947,12,2,1055,200
117,2018-10-13 00:00:00,808,19,6,9122,3648
118,2016-10-05 00:00:00,143,29,8,2312,4920
119,2018-03-11 00:00:00,541,17,1,6338,417
120,2017-09-17 00:00:00,859,29,5,2312,3075
121,2017-10-15 00:00:00,581,50,4,9056,3664
122,2017-04-18 00:00:00,566,15,6,1118,4296
