ProductID,ProductNumber,ProductName,StandardCost,ListPrice,ProductCategory
1,sNa-009,Leave our letter.,3238,4041,Packing Materials
2,dOH-709,Opportunity not.,1115,1565,Clothing
3,fUn-340,Recently design.,1757,2138,Clothing
4,DKB-768,Machine hand police.,1966,2778,Toys
5,bJQ-779,Need new soon worry.,5633,5857,Packing Materials
6,raN-546,Physical main baby.,5295,5868,Clothing
7,HLp-457,Perform authority.,3197,4009,Clothing
8,ZEG-915,Blue form fine pick.,3103,4074,Personal Care
9,peO-211,Scene cover.,8613,8971,Clothing
10,SZX-326,Challenge.,2375,2863,Clothing
11,kuc-982,Authority even.,4308,4470,Packing Materials
12,QDo-736,Word surface.,955,1055,Novelty Items
13,URO-748,Concern somebody.,9609,10237,Accessories
14,KtW-374,Apply onto about.,8196,8220,Accessories
15,yYo-355,Hard law reduce.,402,1118,Novelty Items
16,nNe-328,Role him room part.,8562,9551,Clothing
17,xRT-003,Question concern.,5921,6338,Accessories
18,ugK-528,Everybody morning.,5989,5999,Personal Care
19,ELf-367,Occur great real.,8514,9122,Packing Materials
20,kUy-327,Officer get benefit.,3719,4184,Packing Materials
21,JPO-500,Close theory return.,680,1196,Accessories
22,hdT-183,Day others single.,451,655,Accessories
23,XGz-360,Degree page top.,5549,6407,Clothing
24,HJT-046,Speak back.,9394,10030,Packing Materials
25,Lje-784,Become commercial.,3683,4460,Clothing
26,OpZ-614,Skin cause month.,4222,4966,Novelty Items
27,SYh-572,Century hope.,8244,8329,Clothing
28,knn-556,Ten visit dream.,317,919,Clothing
29,TFO-956,Return concern fine.,1697,2312,Clothing
30,HzJ-050,Art line girl.,8778,9196,Sports
31,nbT-335,Compare five ball.,3272,4203,Accessories
32,Mto-633,Down economy.,8563,9553,Sports
33,NiL-363,Song deep growth.,8649,8656,Packing Materials
34,IrG-179,Be analysis but.,1353,2235,Clothing
35,okS-186,Personal candidate.,7427,8211,Novelty Items
36,JdE-757,Second suddenly top.,3723,4019,Packing Materials
37,TIh-536,Much sort in air.,8560,8918,Novelty Items
38,pVM-114,Baby growth picture.,8982,9265,Clothing
39,qKs-136,Meet then machine.,9729,10137,Personal Care
40,NjF-397,Future enter series.,6330,7245,Accessories
41,uZF-367,Together first in.,2443,2665,Novelty Items
42,ODp-924,Every other mean.,5761,6201,Personal Care
43,Zgq-485,Send laugh class.,8523,9442,Clothing
44,EQQ-813,Sometimes agency.,3855,3899,Accessories
45,StI-098,Particular.,3441,3550,Novelty Items
46,duk-894,Police she only.,2686,2723,Personal Care
47,gwN-125,Relationship bill.,7885,8102,Accessories
48,Dqc-364,Rule treat respond.,4614,4856,Clothing
49,NVl-608,With allow senior.,105,348,Clothing
50,FhQ-023,Until role law.,8140,9056,Sports
